Time	Open	High	Low	Close	Volume
2018-10-17 00:00:00	14.643	14.715	14.576	14.604	2976
2018-10-18 00:00:00	14.603	14.652	14.442	14.571	3240
2018-10-19 00:00:00	14.571	14.711	14.549	14.603	2905
2018-10-21 00:00:00	14.646	14.656	14.616	14.639	73
2018-10-22 00:00:00	14.641	14.683	14.511	14.554	2874
2018-10-23 00:00:00	14.554	14.8	14.511	14.751	3372
2018-10-24 00:00:00	14.75	14.795	14.636	14.684	3051
2018-10-25 00:00:00	14.684	14.77	14.597	14.628	3221
2018-10-26 00:00:00	14.625	14.765	14.565	14.665	3678
2018-10-28 00:00:00	14.704	14.71	14.676	14.687	81
2018-10-29 00:00:00	14.688	14.753	14.403	14.483	3338
2018-10-30 00:00:00	14.48	14.523	14.368	14.456	3207
2018-10-31 00:00:00	14.457	14.461	14.227	14.273	2921
2018-11-01 00:00:00	14.272	14.815	14.266	14.738	3683
2018-11-02 00:00:00	14.736	14.904	14.63	14.707	4076
2018-11-04 00:00:00	14.739	14.752	14.725	14.744	57
2018-11-05 00:00:00	14.743	14.761	14.547	14.637	2886
2018-11-06 00:00:00	14.638	14.707	14.478	14.539	2839
2018-11-07 00:00:00	14.529	14.714	14.468	14.56	3711
2018-11-08 00:00:00	14.56	14.584	14.354	14.428	3467
2018-11-09 00:00:00	14.427	14.43	14.097	14.12	3178
2018-11-11 00:00:00	14.153	14.178	14.149	14.178	36
2018-11-12 00:00:00	14.178	14.203	13.928	14.017	2475
2018-11-13 00:00:00	14.016	14.119	13.947	14.016	3461
2018-11-14 00:00:00	14.017	14.183	13.887	14.132	3303
2018-11-15 00:00:00	14.131	14.344	14.086	14.279	4046
2018-11-16 00:00:00	14.282	14.413	14.231	14.375	3461
2018-11-18 00:00:00	14.409	14.41	14.389	14.406	39
2018-11-19 00:00:00	14.404	14.433	14.338	14.418	2819
2018-11-20 00:00:00	14.416	14.484	14.218	14.314	3779
2018-11-21 00:00:00	14.313	14.547	14.267	14.482	3014
2018-11-22 00:00:00	14.482	14.534	14.44	14.485	1641
2018-11-23 00:00:00	14.474	14.497	14.183	14.259	2539
2018-11-25 00:00:00	14.294	14.314	14.28	14.297	53
2018-11-26 00:00:00	14.297	14.429	14.17	14.241	2479
2018-11-27 00:00:00	14.239	14.3	14.089	14.149	3364
2018-11-28 00:00:00	14.148	14.385	14.11	14.315	2868
2018-11-29 00:00:00	14.317	14.382	14.251	14.304	2756
2018-11-30 00:00:00	14.306	14.332	14.046	14.144	2251
2018-12-02 00:00:00	14.228	14.265	14.202	14.226	68
2018-12-03 00:00:00	14.228	14.556	14.193	14.393	3027
2018-12-04 00:00:00	14.393	14.654	14.379	14.525	2938
2018-12-05 00:00:00	14.525	14.533	14.412	14.491	1601
